Timestamp,Runtime (s),Pitch,Roll,Yaw,Temp,Alt,Battery
2025-04-29 17:17:37.285,0.57,-56.84,0.59,-20663.2,24.65,-0.33,3.53
2025-04-29 17:17:37.844,1.13,-47.39,-1.56,-20687.0,24.68,-0.33,3.54
2025-04-29 17:17:38.401,1.69,-24.47,10.16,-20738.66,24.72,-0.31,3.54
2025-04-29 17:17:38.962,2.25,-43.4,0.02,-20768.09,24.74,-0.34,3.5
2025-04-29 17:17:39.522,2.81,-41.54,-0.05,-20793.02,24.78,-0.38,3.54
2025-04-29 17:17:40.081,3.37,-41.18,3.89,-20819.37,24.76,-0.38,3.49
2025-04-29 17:17:40.641,3.93,-41.67,1.73,-20842.81,24.75,-0.4,3.55
2025-04-29 17:17:41.200,4.49,-38.46,4.95,-20875.18,24.77,-0.43,3.52
2025-04-29 17:17:41.757,5.05,-40.63,3.36,-20899.98,24.8,-0.44,3.55
2025-04-29 17:17:42.267,5.56,-41.89,2.92,-20923.96,24.82,-0.47,3.52
2025-04-29 17:17:42.797,6.09,-42.03,0.28,-20947.63,24.83,-0.47,3.53
2025-04-29 17:17:43.358,6.65,-44.19,-1.36,-20973.82,24.86,-0.48,3.54
2025-04-29 17:17:43.882,7.17,-42.82,5.28,-20995.94,24.88,-0.5,3.54
2025-04-29 17:17:44.410,7.70,-39.78,16.13,-21014.22,24.91,-0.4,3.49
2025-04-29 17:17:44.959,8.25,-25.06,23.23,-21034.42,24.91,-0.4,3.53
2025-04-29 17:17:45.531,8.82,-37.25,16.53,-21062.11,24.92,-0.28,3.46
2025-04-29 17:17:46.128,9.42,-35.87,17.58,-21085.32,24.93,-0.17,3.5
2025-04-29 17:17:46.635,9.92,-30.77,20.53,-21107.37,24.93,-0.09,3.54
2025-04-29 17:17:47.202,10.49,-34.72,18.6,-21147.78,24.96,0.0,3.54
2025-04-29 17:17:47.759,11.05,-38.31,18.4,-21172.39,24.98,0.07,3.54
2025-04-29 17:17:48.317,11.61,-35.15,20.43,-21196.05,24.98,0.15,3.58
2025-04-29 17:17:48.887,12.18,-32.12,19.23,-21216.59,24.99,0.21,3.54
2025-04-29 17:17:49.434,12.72,-25.1,20.08,-21251.64,25.01,0.58,3.54
2025-04-29 17:17:49.994,13.28,-33.2,19.89,-21277.19,25.03,0.34,3.53
2025-04-29 17:17:50.522,13.81,-33.44,18.25,-21300.9,25.04,0.41,3.54
2025-04-29 17:17:51.037,14.33,-33.6,18.83,-21325.95,25.05,0.51,3.54
2025-04-29 17:17:51.599,14.89,-30.98,19.9,-21347.9,25.04,0.58,3.53
2025-04-29 17:17:52.176,15.47,-35.4,18.95,-21383.74,25.05,0.62,3.53
2025-04-29 17:17:52.714,16.00,-37.14,13.67,-21409.24,25.05,0.67,3.54
2025-04-29 17:17:53.275,16.56,-43.3,10.6,-21436.0,25.04,0.72,3.54
2025-04-29 17:17:53.839,17.13,-34.32,16.58,-21455.96,25.03,0.73,3.54
2025-04-29 17:17:54.398,17.69,-26.5,26.3,-21476.09,25.02,0.82,3.6
2025-04-29 17:17:54.926,18.21,-38.48,14.56,-21506.26,25.02,0.86,3.54
2025-04-29 17:17:55.434,18.72,-22.38,23.67,-21537.04,25.0,0.91,3.54
2025-04-29 17:17:55.996,19.28,-38.73,14.31,-21566.56,25.01,0.96,3.52
2025-04-29 17:17:56.536,19.82,-36.33,17.94,-21589.79,24.99,0.97,3.54
2025-04-29 17:17:57.037,20.33,-30.38,21.1,-21612.1,24.98,0.98,3.54
2025-04-29 17:17:57.593,20.88,-34.52,19.61,-21637.24,24.97,0.95,3.54
2025-04-29 17:17:58.155,21.44,-38.1,17.38,-21662.73,24.98,0.95,3.5
2025-04-29 17:17:58.729,22.02,-34.15,17.7,-21695.56,24.96,0.96,3.52
2025-04-29 17:17:59.275,22.56,-30.23,20.63,-21718.99,24.97,1.01,3.54
2025-04-29 17:17:59.842,23.13,-30.54,20.46,-21743.48,25.0,1.01,3.54
2025-04-29 17:18:00.393,23.68,-29.6,20.99,-21768.25,25.01,1.0,3.53
2025-04-29 17:18:00.961,24.25,-31.67,19.52,-21803.24,25.05,1.01,3.52
2025-04-29 17:18:01.509,24.80,-36.2,18.62,-21828.99,25.06,1.01,3.53
2025-04-29 17:18:02.068,25.36,-27.78,22.33,-21849.89,25.08,1.06,3.57
2025-04-29 17:18:02.629,25.92,-27.02,22.1,-21873.7,25.07,1.07,3.54
2025-04-29 17:18:03.190,26.48,-26.74,21.69,-21897.64,25.07,1.05,3.53
2025-04-29 17:18:03.759,27.05,-28.3,21.59,-21933.75,25.1,1.07,3.5
2025-04-29 17:18:04.310,27.60,-28.24,20.71,-21957.09,25.11,1.1,3.53
2025-04-29 17:18:04.880,28.17,-29.29,20.89,-21982.77,25.12,1.13,3.52
2025-04-29 17:18:05.437,28.73,-28.54,20.23,-22005.15,25.13,1.18,3.53
2025-04-29 17:18:05.993,29.28,-26.05,21.24,-22041.95,25.14,1.21,3.53
2025-04-29 17:18:06.552,29.84,-28.35,21.83,-22066.83,25.16,1.21,3.53
2025-04-29 17:18:07.114,30.40,-32.52,19.02,-22091.71,25.18,1.23,3.54
2025-04-29 17:18:07.672,30.96,-27.31,20.14,-22113.79,25.16,1.31,3.53
2025-04-29 17:18:08.235,31.52,-44.12,18.23,-22156.85,25.19,1.34,3.59
2025-04-29 17:18:08.788,32.08,-49.73,6.43,-22184.86,25.21,1.33,3.53
2025-04-29 17:18:09.350,32.64,-53.4,7.01,-22209.35,25.23,1.35,3.53
2025-04-29 17:18:09.906,33.20,-51.23,7.44,-22232.26,25.24,1.42,3.53
2025-04-29 17:18:10.466,33.76,-57.55,4.35,-22269.94,25.25,1.4,3.53
2025-04-29 17:18:11.026,34.32,-58.06,7.55,-22293.76,25.25,1.33,3.53
2025-04-29 17:18:11.589,34.88,-57.3,7.97,-22318.06,25.24,1.28,3.55
2025-04-29 17:18:12.147,35.44,-58.63,8.04,-22341.96,25.23,1.28,3.53
2025-04-29 17:18:12.710,36.00,-58.44,6.61,-22377.45,25.22,1.22,3.55
2025-04-29 17:18:13.278,36.57,-58.62,6.96,-22401.71,25.18,1.17,3.53
2025-04-29 17:18:13.825,37.11,-58.68,6.05,-22424.8,25.15,1.09,3.53
2025-04-29 17:18:14.384,37.67,-58.1,5.64,-22448.93,25.14,1.04,3.53
2025-04-29 17:18:14.942,38.23,-58.27,6.55,-22473.5,25.11,1.03,3.53
2025-04-29 17:18:15.553,38.84,-56.88,4.24,-22508.86,25.11,0.99,3.53
2025-04-29 17:18:16.062,39.35,-56.52,5.4,-22533.08,25.12,0.96,3.54
2025-04-29 17:18:16.624,39.91,-55.66,5.19,-22557.03,25.15,0.91,3.55
2025-04-29 17:18:17.187,40.48,-55.61,7.85,-22581.35,25.16,0.9,3.52
2025-04-29 17:18:17.741,41.03,-56.04,5.16,-22617.46,25.19,0.85,3.55
2025-04-29 17:18:18.311,41.60,-55.58,6.58,-22641.91,25.19,0.83,3.52
2025-04-29 17:18:18.862,42.15,-55.15,5.6,-22665.91,25.21,0.83,3.51
2025-04-29 17:18:19.422,42.71,-58.13,7.36,-22690.25,25.22,0.8,3.52
2025-04-29 17:18:19.989,43.28,-57.98,6.7,-22727.03,25.24,0.82,3.55
2025-04-29 17:18:20.550,43.84,-57.85,6.15,-22750.58,25.25,0.8,3.53
2025-04-29 17:18:21.104,44.39,-56.61,6.51,-22774.69,25.25,0.76,3.53
2025-04-29 17:18:21.665,44.95,-57.4,6.66,-22798.4,25.25,0.73,3.55
2025-04-29 17:18:22.225,45.51,-57.65,6.37,-22834.85,25.25,0.7,3.53
2025-04-29 17:18:22.790,46.08,-56.95,6.89,-22858.78,25.26,0.71,3.55
2025-04-29 17:18:23.345,46.63,-57.34,6.68,-22882.93,25.27,0.68,3.53
2025-04-29 17:18:23.909,47.20,-57.2,6.8,-22906.59,25.29,0.7,3.52
2025-04-29 17:18:24.466,47.76,-57.45,6.0,-22930.55,25.29,0.64,3.49
2025-04-29 17:18:25.026,48.31,-55.02,4.98,-22967.18,25.26,0.64,3.54
2025-04-29 17:18:25.556,48.85,-56.32,7.27,-22990.67,25.26,0.58,3.53
2025-04-29 17:18:26.060,49.35,-56.93,7.48,-23013.72,25.24,0.57,3.53
2025-04-29 17:18:26.619,49.91,-56.6,7.01,-23038.17,25.22,0.56,3.54
2025-04-29 17:18:27.191,50.48,-56.92,6.19,-23062.43,25.21,0.53,3.53
2025-04-29 17:18:27.739,51.03,-56.76,8.78,-23098.02,25.17,0.49,3.54
2025-04-29 17:18:28.304,51.59,-56.9,7.89,-23122.79,25.15,0.48,3.52
2025-04-29 17:18:28.866,52.15,-58.36,5.49,-23146.73,25.12,0.44,3.53
2025-04-29 17:18:29.415,52.70,-56.17,10.67,-23171.69,25.1,0.46,3.52
2025-04-29 17:18:29.977,53.27,-57.26,6.37,-23194.76,25.08,0.42,3.52
