Timestamp,Runtime (s),Pitch,Roll,Yaw,Temp,Alt,Battery
2025-04-29 17:15:46.351,0.58,-111.45,-15.04,-15390.48,25.75,-0.29,3.57
2025-04-29 17:15:46.902,1.13,-111.46,-15.21,-15415.04,25.76,-0.29,3.55
2025-04-29 17:15:47.498,1.72,-112.09,-15.89,-15451.45,25.75,-0.26,3.52
2025-04-29 17:15:48.012,2.24,-112.9,-16.73,-15476.59,25.75,-0.24,3.56
2025-04-29 17:15:48.573,2.80,-113.87,-17.55,-15501.29,25.76,-0.21,3.58
2025-04-29 17:15:49.125,3.35,-111.88,-16.03,-15523.73,25.75,-0.2,3.57
2025-04-29 17:15:49.686,3.91,-111.74,-15.66,-15548.03,25.77,-0.19,3.56
2025-04-29 17:15:50.247,4.47,-110.53,-14.41,-15582.41,25.77,-0.17,3.57
2025-04-29 17:15:50.817,5.04,-112.97,-16.5,-15608.9,25.77,-0.15,3.57
2025-04-29 17:15:51.365,5.59,-114.09,-17.69,-15634.16,25.78,-0.14,3.53
2025-04-29 17:15:51.924,6.15,-114.36,-17.61,-15657.03,25.79,-0.12,3.55
2025-04-29 17:15:52.492,6.72,-113.2,-16.43,-15692.77,25.81,-0.09,3.57
2025-04-29 17:15:53.049,7.27,-115.15,-18.44,-15718.92,25.81,-0.06,3.57
2025-04-29 17:15:53.610,7.84,-115.8,-18.53,-15743.22,25.82,-0.06,3.58
2025-04-29 17:15:54.170,8.39,-116.03,-19.26,-15767.54,25.83,-0.06,3.56
2025-04-29 17:15:54.727,8.95,-115.39,-18.63,-15803.2,25.85,-0.06,3.57
2025-04-29 17:15:55.287,9.51,-116.72,-19.39,-15828.72,25.86,-0.05,3.57
2025-04-29 17:15:55.849,10.07,-119.44,-22.22,-15854.4,25.88,-0.04,3.55
2025-04-29 17:15:56.406,10.63,-117.86,-20.55,-15877.89,25.89,0.0,3.56
2025-04-29 17:15:56.968,11.19,-121.42,-23.75,-15904.8,25.9,0.0,3.57
2025-04-29 17:15:57.530,11.75,-110.99,-9.87,-15935.54,25.92,0.0,3.56
2025-04-29 17:15:58.092,12.32,-110.86,-11.88,-15957.19,25.94,-0.01,3.56
2025-04-29 17:15:58.643,12.87,-116.69,-16.82,-15985.52,25.96,0.0,3.58
2025-04-29 17:15:59.202,13.43,-112.63,-13.69,-16006.57,25.98,0.01,3.56
2025-04-29 17:15:59.763,13.99,-114.65,-14.29,-16044.78,26.0,0.03,3.58
2025-04-29 17:16:00.326,14.55,-112.84,-16.61,-16070.63,26.02,0.03,3.57
2025-04-29 17:16:00.888,15.11,-118.86,-17.55,-16095.03,26.03,0.0,3.56
2025-04-29 17:16:01.445,15.67,-115.3,-15.07,-16118.66,26.04,0.0,3.56
